bn_da_bn_rakaar.vatu ,,
bn_dha_bn_rakaar.vatu ,,
bn_na_bn_rakaar.vatu ,,
bn_pa_bn_rakaar.vatu ,,
bn_pha_bn_rakaar.vatu ,,
bn_ba_bn_rakaar.vatu ,,
bn_bha_bn_rakaar.vatu ,,
bn_ma_bn_rakaar.vatu ,,
bn_ya_bn_rakaar.vatu ,,
bn_ra_bn_rakaar.vatu ,,
bn_sha_bn_rakaar.vatu ,,
bn_ssa_bn_rakaar.vatu ,,
bn_sa_bn_rakaar.vatu ,,
bn_ha_bn_rakaar.vatu ,,
bn_ja_ nya.akhn_bn_rakaar.vatu ,,
bn_ka_ssa.akhn_bn_rakaar.vatu ,,
,,
bn_ka_bn_hasanta_bn_ba.cjct ,,
bn_ka_bn_hasanta_bn_ka.cjct ,,
bn_ka_bn_hasanta_bn_la.cjct ,,
bn_ka_bn_hasanta_bn_ma.cjct ,,
bn_ka_bn_hasanta_bn_na.cjct ,,
bn_ka_bn_hasanta_bn_sa.cjct ,,
bn_ka_bn_hasanta_bn_ta.cjct ,,
bn_ka_bn_hasanta_bn_tta_bn_ra.cjct,,
bn_ka_bn_hasanta_bn_tta.cjct ,,
bn_ka_ssa.akhn_bn_hasanta_bn_ma.cjct ,,
bn_ka_ssa.akhn_bn_hasanta_bn_nna.cjct ,,
bn_ga_bn_hasanta_bn_ba.cjct ,,
bn_ga_bn_hasanta_bn_da.cjct ,,
bn_ga_bn_hasanta_bn_dha.cjct ,,
bn_ga_bn_hasanta_bn_ga.cjct ,,
bn_ga_bn_hasanta_bn_la.cjct ,,
bn_ga_bn_hasanta_bn_ma.cjct ,,
bn_ga_bn_hasanta_bn_na.cjct ,,
bn_ga_bn_hasanta_bn_ta.cjct ,,
bn_gha_bn_hasanta_bn_na.cjct ,,
bn_nga_bn_hasanta_bn_ga.cjct ,,
bn_nga_bn_hasanta_bn_gha.cjct ,,
bn_nga_bn_hasanta_bn_ka.cjct ,,
bn_nga_bn_hasanta_bn_kha.cjct ,,
bn_nga_bn_hasanta_bn_ma.cjct ,,
bn_ca_bn_hasanta_bn_ca.cjct ,,
bn_ca_bn_hasanta_bn_cha_bn_ba.cjct ,,
bn_ca_bn_hasanta_bn_cha_bn_rakaar.cjct,,
bn_ca_bn_hasanta_bn_cha.cjct ,,
bn_ca_bn_hasanta_bn_nya.cjct ,,
bn_cha_bn_hasanta_bn_ba.cjct ,,
bn_ja_bn_hasanta_bn_ba.cjct ,,
bn_ja_bn_hasanta_bn_ja_bn_hasanta_bn_ba.cjct,,
bn_ja_bn_hasanta_bn_ja.cjct ,,
bn_ja_bn_hasanta_bn_jha.cjct ,,
bn_nna_bn_hasanta_bn_ttha.cjct ,,
bn_nya_bn_hasanta_bn_ca.cjct ,,
bn_nya_bn_hasanta_bn_cha.cjct ,,
bn_nya_bn_hasanta_bn_ja.cjct ,,
bn_nya_bn_hasanta_bn_jha.cjct,,
bn_tta_bn_hasanta_bn_ba.cjct ,,
bn_tta_bn_hasanta_bn_ma.cjct ,,
bn_tta_bn_hasanta_bn_tta.cjct ,,
bn_dda_bn_hasanta_bn_dda.cjct ,,
bn_dda_bn_hasanta_bn_ba.cjct ,,
bn_nna_bn_hasanta_bn_ba.cjct ,,
bn_nna_bn_hasanta_bn_dda_bn_rakaar.cjct,,
bn_nna_bn_hasanta_bn_dda.cjct ,,
bn_nna_bn_hasanta_bn_ddha.cjct ,,
bn_nna_bn_hasanta_bn_ma.cjct ,,
bn_nna_bn_hasanta_bn_nna.cjct ,,
bn_nna_bn_hasanta_bn_tta.cjct ,,
bn_ta_bn_hasanta _bn_ta_bn_rakaar.cjct,,
bn_ta_bn_hasanta_bn_ba.cjct ,,
bn_ta_bn_hasanta_bn_ma.cjct ,,
bn_ta_bn_hasanta_bn_na.cjct ,,
bn_ta_bn_hasanta_bn_ta_bn_ba.cjct ,,
bn_ta_bn_hasanta_bn_ta.cjct ,,
bn_ta_bn_hasanta_bn_tha.cjct ,,
bn_tha_bn_hasanta_bn_ba.cjct,,
bn_da_bn_hasanta_bn_ba.cjct ,,
bn_da_bn_hasanta_bn_bha_bn_rakaar.cjct,,
bn_da_bn_hasanta_bn_bha.cjct ,,
bn_da_bn_hasanta_bn_da_bn_ba.cjct ,,
bn_da_bn_hasanta_bn_da.cjct ,,
bn_da_bn_hasanta_bn_dha_bn_ba.cjct ,,
bn_da_bn_hasanta_bn_dha.cjct ,,
bn_da_bn_hasanta_bn_ga.cjct ,,
bn_da_bn_hasanta_bn_gha.cjct ,,
bn_da_bn_hasanta_bn_ma.cjct ,,
bn_da_bn_hasanta_bn_na.cjct ,,
bn_dha_bn_hasanta_bn_ba.cjct ,,
bn_dha_bn_hasanta_bn_ma.cjct ,,
bn_dha_bn_hasanta_bn_na.cjct ,,
bn_na_bn_hasanta_bn_ba.cjct ,,
bn_na_bn_hasanta_bn_ca.cjct ,,
bn_na_bn_hasanta_bn_da_bn_ba.cjct ,,
bn_na_bn_hasanta_bn_da_bn_ra.cjct,,
bn_na_bn_hasanta_bn_da.cjct ,,
bn_na_bn_hasanta_bn_dda_bn_rakaar.cjct ,,
bn_na_bn_hasanta_bn_dda.cjct ,,
bn_na_bn_hasanta_bn_dha_bn_ra.cjct,,
bn_na_bn_hasanta_bn_dha.cjct ,,
bn_na_bn_hasanta_bn_ka_bn_rakaar.cjct ,,
bn_na_bn_hasanta_bn_ka.cjct ,,
bn_na_bn_hasanta_bn_ma.cjct ,,
bn_na_bn_hasanta_bn_na.cjct ,,
bn_na_bn_hasanta_bn_sa.cjct ,,
bn_na_bn_hasanta_bn_tha.cjct ,,
bn_na_bn_hasanta_bn_tta_bn_rakaar.cjct,,
bn_na_bn_hasanta_bn_tta.cjct ,,
bn_na_bn_hasanta_bn_ttha_bn_rakaar.cjct ,,
bn_na_bn_hasanta_bn_ttha.cjct ,,
bn_na_bn_hasanta._bn_ta.cjct ,,
bn_na_bn_hasanta_bn_ta_bn_ba.cjct,,
bn_pa_bn_hasanta_bn_ba.cjct ,,
bn_pa_bn_hasanta_bn_la.cjct ,,
bn_pa_bn_hasanta_bn_ma.cjct ,,
bn_pa_bn_hasanta_bn_na.cjct ,,
bn_pa_bn_hasanta_bn_pa.cjct ,,
bn_pa_bn_hasanta_bn_sa.cjct ,,
bn_pa_bn_hasanta_bn_ta_bn_ra.cjct,,
bn_pa_bn_hasanta_bn_ta.cjct ,,
bn_pa_bn_hasanta_bn_tta.cjct ,,
bn_pha_bn_hasanta_bn_la.cjct ,,
bn_ba_bn_hasanta_bn_ba.cjct ,,
bn_ba_bn_hasanta_bn_bha.cjct ,,
bn_ba_bn_hasanta_bn_da_bn_rakaar.cjct,,
bn_ba_bn_hasanta_bn_da.cjct ,,
bn_ba_bn_hasanta_bn_dha.cjct ,,
bn_ba_bn_hasanta_bn_ja.cjct ,,
bn_ba_bn_hasanta_bn_la.cjct ,,
bn_ba_bn_hasanta_bn_na.cjct ,,
bn_ma_bn_hasanta_bn_ba.cjct ,,
bn_ma_bn_hasanta_bn_bha_bn_rakaar.cjct,,
bn_ma_bn_hasanta_bn_bha.cjct ,,
bn_ma_bn_hasanta_bn_da.cjct ,,
bn_ma_bn_hasanta_bn_ha.cjct ,,
bn_ma_bn_hasanta_bn_la.cjct ,,
bn_ma_bn_hasanta_bn_ma.cjct ,,
bn_ma_bn_hasanta_bn_na.cjct ,,
bn_ma_bn_hasanta_bn_pa_bn_ra.cjct,,
bn_ma_bn_hasanta_bn_pa.cjct ,,
bn_ma_bn_hasanta_bn_pha.cjct ,,
bn_ma_bn_hasanta_bn_ta_bn_rakaar.cjct,,
bn_ma_bn_hasanta_bn_ta.cjct ,,
bn_ra_zwnj_bn_hasanta_bn_ya.cjct,,
bn_la_bn_hasanta_bn_ba.cjct ,,
bn_la_bn_hasanta_bn_bha.cjct ,,
bn_la_bn_hasanta_bn_dda.cjct ,,
bn_la_bn_hasanta_bn_dha.cjct ,,
bn_la_bn_hasanta_bn_ka.cjct ,,
bn_la_bn_hasanta_bn_la.cjct ,,
bn_la_bn_hasanta_bn_ma.cjct ,,
bn_la_bn_hasanta_bn_pa.cjct ,,
bn_la_bn_hasanta_bn_pha.cjct ,,
bn_la_bn_hasanta_bn_ta.cjct ,,
bn_la_bn_hasanta_bn_tta.cjct ,,
bn_la_bn_hasanta._bn_ga.cjct ,,
bn_sha_bn_hasanta_bn_ba.cjct ,,
bn_sha_bn_hasanta_bn_ca.cjct ,,
bn_sha_bn_hasanta_bn_cha.cjct ,,
bn_sha_bn_hasanta_bn_la.cjct ,,
bn_sha_bn_hasanta_bn_ma.cjct ,,
bn_sha_bn_hasanta_bn_na.cjct ,,
bn_sha_bn_hasanta_bn_ta.cjct ,,
bn_ssa_bn_hasanta_bn_ba.cjct ,,
bn_ssa_bn_hasanta_bn_ka_bn_rakaar.cjct,,
bn_ssa_bn_hasanta_bn_ka.cjct ,,
bn_ssa_bn_hasanta_bn_kha.cjct ,,
bn_ssa_bn_hasanta_bn_ma.cjct ,,
bn_ssa_bn_hasanta_bn_nna.cjct ,,
bn_ssa_bn_hasanta_bn_pa_bn_ra.cjct ,,
